time,n
2e-06,0
5e-06,1000
7e-06,2000
1e-05,3000
1.4e-05,4000
1.8e-05,5000
2.1e-05,6000
2.4e-05,7000
2.7e-05,8000
3.1e-05,9000
5.2e-05,10000
3.8e-05,11000
4.1e-05,12000
4.4e-05,13000
4.8e-05,14000
5.2e-05,15000
5.4e-05,16000
5.8e-05,17000
6.2e-05,18000
8.4e-05,19000
6.8e-05,20000
7.1e-05,21000
7.5e-05,22000
7.9e-05,23000
8.2e-05,24000
9.8e-05,25000
8.8e-05,26000
9.2e-05,27000
9.6e-05,28000
9.9e-05,29000
0.000102,30000
0.000106,31000
0.000109,32000
0.000113,33000
0.000115,34000
0.000119,35000
0.000123,36000
0.000126,37000
0.000129,38000
0.000132,39000
0.000137,40000
0.000139,41000
0.000143,42000
0.000147,43000
0.000149,44000
0.000153,45000
0.000156,46000
0.00016,47000
0.000164,48000
0.000204,49000
0.00017,50000
0.000173,51000
0.000177,52000
0.00018,53000
0.000184,54000
0.000187,55000
0.00019,56000
0.000194,57000
0.000197,58000
0.0002,59000
0.000204,60000
0.000208,61000
0.000241,62000
0.000214,63000
0.000217,64000
0.000221,65000
0.000224,66000
0.000227,67000
0.000267,68000
0.000235,69000
0.000238,70000
0.000266,71000
0.000244,72000
0.000247,73000
0.000252,74000
0.000255,75000
0.000258,76000
0.000261,77000
0.000264,78000
0.000268,79000
0.000272,80000
0.000275,81000
0.000278,82000
0.000281,83000
0.000285,84000
0.000288,85000
0.000292,86000
0.000295,87000
0.000299,88000
0.000302,89000
0.000305,90000
0.000309,91000
0.000312,92000
0.000315,93000
0.000319,94000
0.000331,95000
0.000371,96000
0.000435,97000
0.000338,98000
0.000352,99000
0.000374,100000
0.000342,101000
0.000359,102000
0.000349,103000
0.000353,104000
0.000356,105000
0.000359,106000
0.000377,107000
0.000366,108000
0.00037,109000
0.000373,110000
0.000377,111000
0.00038,112000
0.000383,113000
0.000387,114000
0.000404,115000
0.000393,116000
0.000396,117000
0.000409,118000
0.000403,119000
0.000407,120000
0.00041,121000
0.000414,122000
0.000417,123000
0.000457,124000
0.000424,125000
0.000428,126000
0.000437,127000
0.000435,128000
0.000438,129000
0.000463,130000
0.000445,131000
0.000448,132000
0.000451,133000
0.000454,134000
0.000458,135000
0.000471,136000
0.000465,137000
0.000468,138000
0.000472,139000
0.000625,140000
0.000568,141000
0.000572,142000
0.000624,143000
0.000599,144000
0.000585,145000
0.000589,146000
0.000592,147000
0.000612,148000
0.0006,149000
0.000615,150000
0.000609,151000
0.000627,152000
0.000616,153000
0.00062,154000
0.000624,155000
0.000638,156000
0.000632,157000
0.000636,158000
0.000641,159000
0.000672,160000
0.000648,161000
0.000652,162000
0.000706,163000
0.000661,164000
0.000665,165000
0.00067,166000
0.000714,167000
0.000769,168000
0.000681,169000
0.000685,170000
0.000688,171000
0.000693,172000
0.000696,173000
0.000707,174000
0.000724,175000
0.000769,176000
0.000729,177000
0.000717,178000
0.000721,179000
0.000738,180000
0.000744,181000
0.000733,182000
0.000737,183000
0.00074,184000
0.000755,185000
0.000749,186000
0.000753,187000
0.000782,188000
0.000762,189000
0.000776,190000
0.000769,191000
0.000773,192000
0.000777,193000
0.000798,194000
0.000796,195000
0.000789,196000
0.000793,197000
0.000954,198000
0.000938,199000
0.000984,200000
0.000962,201000
0.00093,202000
0.000934,203000
0.000955,204000
0.000943,205000
0.000949,206000
0.000973,207000
0.001013,208000
0.000962,209000
0.000965,210000
0.000971,211000
0.000988,212000
0.000981,213000
0.000985,214000
0.001021,215000
0.001007,216000
0.001077,217000
0.001061,218000
0.001015,219000
0.001031,220000
0.001037,221000
0.00105,222000
0.001026,223000
0.001046,224000
0.001035,225000
0.00104,226000
0.001045,227000
0.00108,228000
0.001053,229000
0.001058,230000
0.00107,231000
0.001068,232000
0.001072,233000
0.001106,234000
0.001094,235000
0.001085,236000
0.00116,237000
0.001095,238000
0.001133,239000
0.001148,240000
0.001108,241000
0.00119,242000
0.001137,243000
0.001123,244000
0.001128,245000
0.001146,246000
0.001135,247000
0.00117,248000
0.001158,249000
0.00115,250000
0.001155,251000
0.001178,252000
0.001177,253000
0.001168,254000
0.001207,255000
0.001289,256000
0.001212,257000
0.001187,258000
0.001206,259000
0.001215,260000
0.0012,261000
0.001218,262000
0.00124,263000
0.001215,264000
0.001219,265000
0.001236,266000
0.001246,267000
0.001233,268000
0.00125,269000
0.00133,270000
0.001247,271000
0.001328,272000
0.001273,273000
0.001261,274000
0.00128,275000
0.00127,276000
0.001304,277000
0.001292,278000
0.001284,279000
0.001306,280000
0.001305,281000
0.001297,282000
0.001269,283000
0.001016,284000
0.00108,285000
0.001045,286000
0.00104,287000
0.001041,288000
0.001034,289000
0.001038,290000
0.001063,291000
0.000948,292000
0.000858,293000
0.00086,294000
0.000864,295000
0.000878,296000
0.000877,297000
0.000872,298000
0.000875,299000
0.000879,300000
0.000898,301000
0.000855,302000
0.000814,303000
0.000783,304000
0.000796,305000
0.00081,306000
0.000791,307000
0.000794,308000
0.000795,309000
0.000787,310000
0.000814,311000
0.00082,312000
0.000806,313000
0.000808,314000
0.000811,315000
0.000821,316000
0.000827,317000
0.000819,318000
0.000822,319000
0.000824,320000
0.000834,321000
0.000839,322000
0.000832,323000
0.000882,324000
0.000838,325000
0.000873,326000
0.000842,327000
0.000855,328000
0.000848,329000
0.000858,330000
0.000852,331000
0.000855,332000
0.000888,333000
0.000827,334000
0.000836,335000
0.000849,336000
0.00087,337000
0.000864,338000
0.000857,339000
0.000885,340000
0.000862,341000
0.000847,342000
0.000861,343000
0.000859,344000
0.000854,345000
0.000886,346000
0.000859,347000
0.000872,348000
0.000901,349000
0.000867,350000
0.000897,351000
0.000888,352000
0.000882,353000
0.000877,354000
0.000879,355000
0.000882,356000
0.000893,357000
0.000941,358000
0.000908,359000
0.000947,360000
0.000928,361000
0.000968,362000
0.000899,363000
0.000902,364000
0.000962,365000
0.000961,366000
0.00095,367000
0.000911,368000
0.000914,369000
0.000916,370000
0.000967,371000
0.000922,372000
0.001005,373000
0.000963,374000
0.001009,375000
0.000995,376000
0.000971,377000
0.000973,378000
0.000972,379000
0.000941,380000
0.000953,381000
0.001015,382000
0.001018,383000
0.001008,384000
0.001004,385000
0.000995,386000
0.001004,387000
0.000999,388000
0.000986,389000
0.000981,390000
0.000975,391000
0.001026,392000
0.001022,393000
0.001048,394000
0.001025,395000
0.001044,396000
0.001038,397000
0.001067,398000
0.001096,399000
0.001103,400000
0.001106,401000
0.001087,402000
0.001121,403000
0.001084,404000
0.001087,405000
0.001098,406000
0.001109,407000
0.001152,408000
0.001148,409000
0.001135,410000
0.001176,411000
0.001139,412000
0.001161,413000
0.001122,414000
0.001114,415000
0.001116,416000
0.001154,417000
0.001131,418000
0.001125,419000
0.001143,420000
0.001125,421000
0.001125,422000
0.001143,423000
0.0011,424000
0.001105,425000
0.001148,426000
0.001204,427000
0.001187,428000
0.001165,429000
0.001131,430000
0.001118,431000
0.001145,432000
0.001115,433000
0.001129,434000
0.001121,435000
0.00114,436000
0.001172,437000
0.001137,438000
0.001177,439000
0.001143,440000
0.001164,441000
0.001139,442000
0.001151,443000
0.001212,444000
0.001146,445000
0.001196,446000
0.001189,447000
0.001163,448000
0.001157,449000
0.001159,450000
0.00123,451000
0.001195,452000
0.001166,453000
0.00121,454000
0.001179,455000
0.001186,456000
0.001132,457000
0.001151,458000
0.001137,459000
0.001221,460000
0.001195,461000
0.0012,462000
0.001221,463000
0.001173,464000
0.001222,465000
0.001154,466000
0.0012,467000
0.001212,468000
0.001227,469000
0.001164,470000
0.001209,471000
0.001169,472000
0.001405,473000
0.00134,474000
0.001354,475000
0.001343,476000
0.001303,477000
0.001235,478000
0.00128,479000
0.001236,480000
0.001246,481000
0.001259,482000
0.001245,483000
0.001255,484000
0.00125,485000
0.001252,486000
0.001279,487000
0.001314,488000
0.001279,489000
0.001269,490000
0.001265,491000
0.001267,492000
0.001286,493000
0.001272,494000
0.001333,495000
0.001286,496000
0.001315,497000
0.001249,498000
0.001246,499000
0.001238,500000
0.001241,501000
0.001253,502000
0.001279,503000
0.001248,504000
0.001285,505000
0.001269,506000
0.001309,507000
0.001319,508000
0.001318,509000
0.001321,510000
0.00131,511000
0.001393,512000
0.001386,513000
0.00139,514000
0.001391,515000
0.001385,516000
0.001387,517000
0.001422,518000
0.001405,519000
0.001365,520000
0.001351,521000
0.001344,522000
0.001354,523000
0.00135,524000
0.001371,525000
0.001398,526000
0.001441,527000
0.001426,528000
0.001431,529000
0.001365,530000
0.001367,531000
0.001401,532000
0.001401,533000
0.001425,534000
0.001405,535000
0.001382,536000
0.001383,537000
0.001408,538000
0.001388,539000
0.001425,540000
0.001394,541000
0.001489,542000
0.001407,543000
0.001401,544000
0.001433,545000
0.001443,546000
0.00146,547000
0.001463,548000
